run,burned_cells
run_0457,61
run_0458,4
run_0459,85
run_0460,1
run_0461,2
run_0462,1
run_0463,1
run_0464,1
run_0465,109
run_0466,2
run_0467,19
run_0468,1
run_0469,1
run_0470,41
run_0471,13
run_0472,41
run_0473,29
run_0474,1
run_0475,4
run_0476,31
run_0477,1
run_0478,49
run_0479,127
run_0480,1
run_0481,2
run_0482,1
run_0483,13
run_0484,16
run_0485,1
run_0486,1
run_0487,21
run_0488,22
run_0489,1
run_0490,17
run_0491,51
run_0492,1
run_0493,83
run_0494,39
run_0495,1
run_0496,25
run_0497,66
run_0498,7
run_0499,5
run_0500,61
run_0501,1
run_0502,1
run_0503,116
run_0504,1
run_0505,1
run_0506,31
run_0507,2
run_0508,1
run_0509,4
run_0510,1
run_0511,114
run_0512,1
run_0513,3
run_0514,1
run_0515,3
run_0516,44
run_0517,2
run_0518,21
run_0519,1
run_0520,4
run_0521,1
run_0522,76
run_0523,9
run_0524,1
run_0525,44
run_0526,1
run_0527,21
run_0528,4
run_0529,1
run_0530,37
run_0531,95
run_0532,1
run_0533,22
run_0534,41
run_0535,1
run_0536,82
run_0537,2
run_0538,3
run_0539,18
run_0540,1
run_0541,9
run_0542,1
run_0543,3
run_0544,29
run_0545,6
run_0546,1
run_0547,1
run_0548,2
run_0549,2
run_0550,1
run_0551,1
run_0552,1
run_0553,45
run_0554,46
run_0555,2
run_0556,4
run_0557,130
run_0558,24
run_0559,94
run_0560,19
run_0561,1
run_0562,43
run_0563,1
run_0564,31
run_0565,1
run_0566,15
run_0567,1
run_0568,1
run_0569,1
run_0570,1
run_0571,3
run_0572,1
run_0573,20
run_0574,1
run_0575,2
run_0576,1
run_0577,1
run_0578,48
run_0579,51
run_0580,14
run_0581,4
run_0582,1
run_0583,5
run_0584,1
run_0585,1
run_0586,1
run_0587,2
run_0588,32
run_0589,1
run_0590,51
run_0591,12
run_0592,1
run_0593,82
run_0594,1
run_0595,18
run_0596,57
run_0597,5
run_0598,51
run_0599,57
run_0600,1
run_0601,1
run_0602,51
run_0603,1
run_0604,6
run_0605,1
run_0606,1
run_0607,1
run_0608,1
run_0609,28
run_0610,1
run_0611,51
run_0612,1
run_0613,40
run_0614,34
run_0615,1
run_0616,2
run_0617,81
run_0618,1
run_0619,19
run_0620,1
run_0621,2
run_0622,1
run_0623,11
run_0624,119
run_0625,33
run_0626,159
run_0627,3
run_0628,1
run_0629,29
run_0630,10
run_0631,192
run_0632,3
run_0633,16
run_0634,4
run_0635,15
run_0636,1
run_0637,1
run_0638,179
run_0639,1
run_0640,13
run_0641,67
run_0642,26
run_0643,31
run_0644,15
run_0645,1
run_0646,1
run_0647,1
run_0648,1
run_0649,133
run_0650,1
run_0651,31
run_0652,39
run_0653,1
run_0654,1
run_0655,1
run_0656,1
run_0657,1
run_0658,9
run_0659,1
run_0660,32
run_0661,1
run_0662,6
run_0663,72
run_0664,1
run_0665,1
run_0666,1
run_0667,1
run_0668,9
run_0669,1
run_0670,1
run_0671,1
run_0672,41
run_0673,334
run_0674,1
run_0675,96
run_0676,56
run_0677,1
run_0678,2
run_0679,20
run_0680,1
run_0681,25
run_0682,77
run_0683,232
run_0684,1
run_0685,1
run_0686,2
run_0687,3
run_0688,5
run_0689,1
run_0690,1
run_0691,1
run_0692,7
run_0693,2
run_0694,1
run_0695,1
run_0696,7
run_0697,1
run_0698,86
run_0699,1
run_0700,1
run_0701,1
run_0702,1
run_0703,2
run_0704,9
run_0705,1
run_0706,1
run_0707,11
run_0708,3
run_0709,8
run_0710,1
run_0711,1
run_0712,1
run_0713,1
run_0714,48
run_0715,1
run_0716,10
run_0717,215
run_0718,5
run_0719,1
run_0720,37
run_0721,1
run_0722,3
run_0723,39
run_0724,1
run_0725,286
run_0726,1
run_0727,36
run_0728,4
run_0729,1
run_0730,1
run_0731,2
run_0732,3
run_0733,3
run_0734,40
run_0735,11
run_0736,1
run_0737,1
run_0738,26
run_0739,2
run_0740,11
run_0741,1
run_0742,2
run_0743,541
run_0744,1
run_0745,9
run_0746,56
run_0747,23
run_0748,3
run_0749,4
run_0750,52
run_0751,36
run_0752,6
run_0753,6
run_0754,1
run_0755,6
run_0756,1
run_0757,1
run_0758,4
run_0759,1
run_0760,7
run_0761,20
run_0762,63
run_0763,1
run_0764,10
run_0765,1
run_0766,19
run_0767,12
run_0768,10
run_0769,8
run_0770,1
run_0771,1
run_0772,106
run_0773,1
run_0774,69
run_0775,2
run_0776,17
run_0777,1
run_0778,11
run_0779,54
run_0780,30
run_0781,1
run_0782,1
run_0783,1
run_0784,1
run_0785,1
run_0786,44
run_0787,1
run_0788,1
run_0789,48
run_0790,79
run_0791,38
run_0792,1
run_0793,29
run_0794,51
run_0795,1
run_0796,41
run_0797,1
run_0798,100
run_0799,1
run_0800,1
run_0801,1
run_0802,1
run_0803,6
run_0804,71
run_0805,1
run_0806,39
run_0807,69
run_0808,157
run_0809,1
run_0810,27
run_0811,78
run_0812,1
run_0813,1
run_0814,9
run_0815,1
run_0816,1
run_0817,1
run_0818,1
run_0819,1
run_0820,93
run_0821,28
run_0822,1
run_0823,1
run_0824,120
run_0825,43
run_0826,1
run_0827,324
run_0828,1
run_0829,100
run_0830,2
run_0831,1
run_0832,1
run_0833,1
run_0834,34
run_0835,10
run_0836,1
run_0837,20
run_0838,1
run_0839,65
run_0840,10
run_0841,1
run_0842,1
run_0843,56
run_0844,10
run_0845,8
run_0846,21
run_0847,1
run_0848,1
run_0849,18
run_0850,1
run_0851,35
run_0852,1
run_0853,1
run_0854,1
run_0855,1
run_0856,4
run_0857,43
run_0858,1
run_0859,1
run_0860,2
run_0861,7
run_0862,1
run_0863,1
run_0864,2
run_0865,9
run_0866,159
run_0867,1
run_0868,1
run_0869,12
run_0870,1
run_0871,1
run_0872,3
run_0873,1
run_0874,1
run_0875,61
run_0876,1
run_0877,2
run_0878,25
run_0879,1
run_0880,1
run_0881,25
run_0882,1
run_0883,7
run_0884,1
run_0885,1
run_0886,18
run_0887,1
run_0888,5
run_0889,37
run_0890,1
run_0891,3
run_0892,8
run_0893,16
run_0894,39
run_0895,1
run_0896,6
run_0897,166
run_0898,4
run_0899,3
run_0900,1
run_0901,1
run_0902,1
run_0903,1
run_0904,4
run_0905,14
run_0906,107
run_0907,11
run_0908,1
run_0909,21
run_0910,1
run_0911,1
run_0912,156
run_0913,17
run_0914,96
run_0915,50
run_0916,1
run_0917,1
run_0918,4
run_0919,1
run_0920,10
run_0921,3
run_0922,3
run_0923,14
run_0924,12
run_0925,20
run_0926,2
run_0927,1
run_0928,1
run_0929,21
run_0930,1
run_0931,4
run_0932,5
run_0933,100
run_0934,60
run_0935,69
run_0936,1
run_0937,1
run_0938,1
run_0939,1
run_0940,157
run_0941,4
run_0942,1
run_0943,2
run_0944,192
run_0945,1
run_0946,1
run_0947,1
run_0948,19
run_0949,17
