run_id,weather_index,scenario,fire_number,fire_year,fire_cause,ignition_lat,ignition_lon,cell_id
68,1,404_P90_20180820_24H_PREVAILING,68,,,49.512709411845734,-117.56172588155302,299276
69,1,404_P90_20180820_24H_PREVAILING,69,,,49.52164210103443,-117.56008445834182,275068
70,1,404_P90_20180820_24H_PREVAILING,70,,,49.53057464938561,-117.55844239945333,251572
71,1,404_P90_20180820_24H_PREVAILING,71,,,49.53950705704782,-117.55679970452002,228076
72,1,404_P90_20180820_24H_PREVAILING,72,,,49.5484393241696,-117.555156373174,203868
73,1,404_P90_20180820_24H_PREVAILING,73,,,49.55737145089926,-117.55351240504713,180372
74,1,404_P90_20180820_24H_PREVAILING,74,,,49.56630343738558,-117.551867799771,156876
75,1,404_P90_20180820_24H_PREVAILING,75,,,49.57523528377723,-117.55022255697693,133380
76,1,404_P90_20180820_24H_PREVAILING,76,,,49.5841669902228,-117.54857667629591,109172
77,1,404_P90_20180820_24H_PREVAILING,77,,,49.5930985568711,-117.54693015735864,85676
78,1,404_P90_20180820_24H_PREVAILING,78,,,49.60202998387093,-117.54528299979562,62180
79,1,404_P90_20180820_24H_PREVAILING,79,,,49.610961271371075,-117.54363520323697,37259
80,1,404_P90_20180820_24H_PREVAILING,80,,,49.61989241952048,-117.5419867673126,14476
81,1,404_P90_20180820_24H_PREVAILING,81,,,49.458040761089755,-117.55787449945299,441709
82,1,404_P90_20180820_24H_PREVAILING,82,,,49.46697410561621,-117.55623427393273,418214
83,1,404_P90_20180820_24H_PREVAILING,83,,,49.47590730832225,-117.55459341395505,394005
84,1,404_P90_20180820_24H_PREVAILING,84,,,49.48484036935585,-117.55295191915346,370509
85,1,404_P90_20180820_24H_PREVAILING,85,,,49.493773288865235,-117.55130978916127,346301
86,1,404_P90_20180820_24H_PREVAILING,86,,,49.502706066998556,-117.54966702361146,322806
87,1,404_P90_20180820_24H_PREVAILING,87,,,49.51163870390407,-117.54802362213684,299309
88,1,404_P90_20180820_24H_PREVAILING,88,,,49.52057119973003,-117.54637958436977,275101
89,1,404_P90_20180820_24H_PREVAILING,89,,,49.529503554624725,-117.54473490994243,251606
90,1,404_P90_20180820_24H_PREVAILING,90,,,49.53843576873663,-117.54308959848674,228109
91,1,404_P90_20180820_24H_PREVAILING,91,,,49.547367842214165,-117.54144364963425,204614
92,1,404_P90_20180820_24H_PREVAILING,92,,,49.55629977520578,-117.53979706301631,180406
93,1,404_P90_20180820_24H_PREVAILING,93,,,49.56523156785996,-117.53814983826393,156910
94,1,404_P90_20180820_24H_PREVAILING,94,,,49.57416322032546,-117.5365019750079,132702
95,1,404_P90_20180820_24H_PREVAILING,95,,,49.58309473275072,-117.53485347287864,109206
96,1,404_P90_20180820_24H_PREVAILING,96,,,49.592026105284525,-117.53320433150633,85710
97,1,404_P90_20180820_24H_PREVAILING,97,,,49.60095733807565,-117.53155455052092,61501
98,1,404_P90_20180820_24H_PREVAILING,98,,,49.609888431272736,-117.52990412955198,38005
99,1,404_P90_20180820_24H_PREVAILING,99,,,49.6188193850248,-117.52825306822884,14509
100,1,404_P90_20180820_24H_PREVAILING,100,,,49.44803618908109,-117.54583073960437,465239
101,1,404_P90_20180820_24H_PREVAILING,101,,,49.45696948256796,-117.5441885408511,441743
102,1,404_P90_20180820_24H_PREVAILING,102,,,49.46590263399288,-117.54254570702761,417535
103,1,404_P90_20180820_24H_PREVAILING,103,,,49.47483564350377,-117.54090223776723,394039
104,1,404_P90_20180820_24H_PREVAILING,104,,,49.48376851124867,-117.53925813270298,370543
105,1,404_P90_20180820_24H_PREVAILING,105,,,49.49270123737571,-117.5376133914676,346335
106,1,404_P90_20180820_24H_PREVAILING,106,,,49.501633822033,-117.53596801369353,322839
107,1,404_P90_20180820_24H_PREVAILING,107,,,49.510566265368716,-117.53432199901302,299343
108,1,404_P90_20180820_24H_PREVAILING,108,,,49.51949856753099,-117.53267534705793,275847
