GRID_ID,GRID_X,GRID_Y,SPACING_M,longitude,latitude
1,1604000.0,539000.0,1000,-117.63907367092304,49.54589841921097
2,1604000.0,540000.0,1000,-117.63744605232752,49.55483184186568
3,1604000.0,541000.0,1000,-117.6358178028648,49.56376512468906
4,1604000.0,542000.0,1000,-117.6341889221698,49.57269826783012
5,1605000.0,537000.0,1000,-117.62861834369086,49.52697064022217
6,1605000.0,538000.0,1000,-117.62698936799933,49.53590415133754
7,1605000.0,539000.0,1000,-117.62535976118482,49.54483752223079
8,1605000.0,540000.0,1000,-117.62372952288224,49.553770753050905
9,1605000.0,541000.0,1000,-117.62209865272614,49.56270384394659
10,1605000.0,542000.0,1000,-117.62046715035088,49.571636795066745
11,1605000.0,543000.0,1000,-117.61883501539046,49.580569606560424
12,1606000.0,536000.0,1000,-117.61654126248845,49.516974935438874
13,1606000.0,537000.0,1000,-117.61491030116818,49.52590839506798
14,1606000.0,538000.0,1000,-117.61327870810538,49.53484171423316
15,1606000.0,539000.0,1000,-117.61164648293469,49.543774893083246
16,1606000.0,540000.0,1000,-117.61001362529039,49.55270793176693
17,1606000.0,541000.0,1000,-117.60838013480661,49.56164083043292
18,1606000.0,542000.0,1000,-117.60674601111705,49.570573589230115
19,1606000.0,543000.0,1000,-117.6051112538552,49.57950620830749
20,1606000.0,544000.0,1000,-117.6034758626543,49.588438687813834
21,1607000.0,534000.0,1000,-117.60610172569649,49.49804419378307
22,1607000.0,535000.0,1000,-117.60446941271104,49.50697774281353
23,1607000.0,536000.0,1000,-117.60283646772999,49.51591115098986
24,1607000.0,537000.0,1000,-117.60120289038794,49.524844418460624
25,1607000.0,538000.0,1000,-117.59956868031928,49.533777545374264
26,1607000.0,539000.0,1000,-117.59793383715805,49.54271053187953
27,1607000.0,540000.0,1000,-117.59629836053807,49.5516433781251
28,1607000.0,541000.0,1000,-117.59466225009277,49.56057608425959
29,1607000.0,542000.0,1000,-117.59302550545542,49.56950865043188
30,1607000.0,543000.0,1000,-117.59138812625896,49.57844107679079
31,1607000.0,544000.0,1000,-117.58975011213604,49.58737336348519
32,1607000.0,545000.0,1000,-117.58811146271906,49.59630551066397
33,1608000.0,533000.0,1000,-117.59403708572472,49.48804556507977
34,1608000.0,534000.0,1000,-117.59240279166185,49.49697906293295
35,1608000.0,535000.0,1000,-117.59076786498632,49.50591241969034
36,1608000.0,536000.0,1000,-117.58913230533246,49.51484563550035
37,1608000.0,537000.0,1000,-117.5874961123343,49.52377871051149
38,1608000.0,538000.0,1000,-117.58585928562572,49.53271164487229
39,1608000.0,539000.0,1000,-117.58422182484018,49.54164443873127
40,1608000.0,540000.0,1000,-117.58258372961095,49.55057709223703
41,1608000.0,541000.0,1000,-117.58094499957096,49.55950960553829
42,1608000.0,542000.0,1000,-117.57930563435289,49.5684419787837
43,1608000.0,543000.0,1000,-117.57766563358916,49.577374212122166
44,1608000.0,544000.0,1000,-117.57602499691183,49.58630630570233
45,1608000.0,545000.0,1000,-117.57438372395279,49.59523825967316
46,1608000.0,546000.0,1000,-117.57274181434352,49.604170074183614
47,1609000.0,532000.0,1000,-117.58197766982194,49.47804544967315
48,1609000.0,533000.0,1000,-117.58034139664528,49.48697889638306
49,1609000.0,534000.0,1000,-117.57870449023989,49.49591220175559
50,1609000.0,535000.0,1000,-117.57706695023991,49.50484536593905
51,1609000.0,536000.0,1000,-117.57542877627913,49.51377838908178
52,1609000.0,537000.0,1000,-117.57378996799109,49.522711271332206
53,1609000.0,538000.0,1000,-117.57215052500904,49.531644012838804
54,1609000.0,539000.0,1000,-117.57051044696594,49.54057661375008
55,1609000.0,540000.0,1000,-117.56886973349452,49.549509074214505
56,1609000.0,541000.0,1000,-117.56722838422716,49.55844139438084
57,1609000.0,542000.0,1000,-117.565586398796,49.56737357439763
58,1609000.0,543000.0,1000,-117.56394377683286,49.57630561441359
59,1609000.0,544000.0,1000,-117.56230051796933,49.585237514577486
60,1609000.0,545000.0,1000,-117.56065662183667,49.59416927503811
61,1609000.0,546000.0,1000,-117.55901208806587,49.60310089594443
62,1609000.0,547000.0,1000,-117.55736691628766,49.61203237744518
63,1610000.0,531000.0,1000,-117.56992347529528,49.46804384814835
64,1610000.0,532000.0,1000,-117.56828522496671,49.47697724374927
65,1610000.0,533000.0,1000,-117.56664634079449,49.485910497771215
66,1610000.0,534000.0,1000,-117.56500682241247,49.49484361036244
67,1610000.0,535000.0,1000,-117.56336666945424,49.503776581671175
68,1610000.0,536000.0,1000,-117.56172588155302,49.512709411845734
69,1610000.0,537000.0,1000,-117.56008445834182,49.52164210103443
70,1610000.0,538000.0,1000,-117.55844239945333,49.53057464938561
71,1610000.0,539000.0,1000,-117.55679970452002,49.53950705704782
72,1610000.0,540000.0,1000,-117.555156373174,49.5484393241696
73,1610000.0,541000.0,1000,-117.55351240504713,49.55737145089926
74,1610000.0,542000.0,1000,-117.551867799771,49.56630343738558
75,1610000.0,543000.0,1000,-117.55022255697693,49.57523528377723
76,1610000.0,544000.0,1000,-117.54857667629591,49.5841669902228
77,1610000.0,545000.0,1000,-117.54693015735864,49.5930985568711
78,1610000.0,546000.0,1000,-117.54528299979562,49.60202998387093
79,1610000.0,547000.0,1000,-117.54363520323697,49.610961271371075
80,1610000.0,548000.0,1000,-117.5419867673126,49.61989241952048
81,1611000.0,530000.0,1000,-117.55787449945299,49.458040761089755
82,1611000.0,531000.0,1000,-117.55623427393273,49.46697410561621
83,1611000.0,532000.0,1000,-117.55459341395505,49.47590730832225
84,1611000.0,533000.0,1000,-117.55295191915346,49.48484036935585
85,1611000.0,534000.0,1000,-117.55130978916127,49.493773288865235
86,1611000.0,535000.0,1000,-117.54966702361146,49.502706066998556
87,1611000.0,536000.0,1000,-117.54802362213684,49.51163870390407
88,1611000.0,537000.0,1000,-117.54637958436977,49.52057119973003
89,1611000.0,538000.0,1000,-117.54473490994243,49.529503554624725
90,1611000.0,539000.0,1000,-117.54308959848674,49.53843576873663
91,1611000.0,540000.0,1000,-117.54144364963425,49.547367842214165
92,1611000.0,541000.0,1000,-117.53979706301631,49.55629977520578
93,1611000.0,542000.0,1000,-117.53814983826393,49.56523156785996
94,1611000.0,543000.0,1000,-117.5365019750079,49.57416322032546
95,1611000.0,544000.0,1000,-117.53485347287864,49.58309473275072
96,1611000.0,545000.0,1000,-117.53320433150633,49.592026105284525
97,1611000.0,546000.0,1000,-117.53155455052092,49.60095733807565
98,1611000.0,547000.0,1000,-117.52990412955198,49.609888431272736
99,1611000.0,548000.0,1000,-117.52825306822884,49.6188193850248
100,1612000.0,529000.0,1000,-117.54583073960437,49.44803618908109
101,1612000.0,530000.0,1000,-117.5441885408511,49.45696948256796
102,1612000.0,531000.0,1000,-117.54254570702761,49.46590263399288
103,1612000.0,532000.0,1000,-117.54090223776723,49.47483564350377
104,1612000.0,533000.0,1000,-117.53925813270298,49.48376851124867
105,1612000.0,534000.0,1000,-117.5376133914676,49.49270123737571
106,1612000.0,535000.0,1000,-117.53596801369353,49.501633822033
107,1612000.0,536000.0,1000,-117.53432199901302,49.510566265368716
108,1612000.0,537000.0,1000,-117.53267534705793,49.51949856753099
109,1612000.0,538000.0,1000,-117.53102805745986,49.52843072866824
110,1612000.0,539000.0,1000,-117.5293801298502,49.537362748928615
111,1612000.0,540000.0,1000,-117.52773156385993,49.54629462846066
112,1612000.0,541000.0,1000,-117.52608235911988,49.55522636741265
113,1612000.0,542000.0,1000,-117.5244325152605,49.56415796593318
114,1612000.0,543000.0,1000,-117.52278203191203,49.57308942417073
115,1612000.0,544000.0,1000,-117.52113090870435,49.582020742273826
116,1612000.0,545000.0,1000,-117.51947914526713,49.590951920391134
117,1612000.0,546000.0,1000,-117.51782674122968,49.5998829586713
118,1612000.0,547000.0,1000,-117.5161736962211,49.608813857263115
119,1613000.0,528000.0,1000,-117.53379219305992,49.43803013270549
120,1613000.0,529000.0,1000,-117.53214802303059,49.446963375187785
121,1613000.0,530000.0,1000,-117.53050321731936,49.45589647536669
122,1613000.0,531000.0,1000,-117.52885777555933,49.464829433389966
123,1613000.0,532000.0,1000,-117.52721169738324,49.473762249405624
124,1613000.0,533000.0,1000,-117.52556498242357,49.482694923561695
125,1613000.0,534000.0,1000,-117.52391763031254,49.49162745600599
126,1613000.0,535000.0,1000,-117.52226964068204,49.500559846886674
127,1613000.0,536000.0,1000,-117.52062101316376,49.50949209635184
128,1613000.0,537000.0,1000,-117.518971747389,49.51842420454968
129,1613000.0,538000.0,1000,-117.51732184298888,49.52735617162839
130,1613000.0,539000.0,1000,-117.51567129959416,49.53628799773619
131,1613000.0,540000.0,1000,-117.51402011683537,49.54521968302146
132,1613000.0,541000.0,1000,-117.51236829434272,49.55415122763252
133,1613000.0,542000.0,1000,-117.51071583174614,49.563082631717805
134,1613000.0,543000.0,1000,-117.5090627286753,49.572013895425705
135,1613000.0,544000.0,1000,-117.50740898475959,49.580945018904856
136,1613000.0,545000.0,1000,-117.50575459962806,49.58987600230373
137,1613000.0,546000.0,1000,-117.50409957290954,49.59880684577092
138,1613000.0,547000.0,1000,-117.50244390423255,49.60773754945519
139,1614000.0,529000.0,1000,-117.51846594213859,49.4458888330266
140,1614000.0,530000.0,1000,-117.5168185298364,49.454821739597726
141,1614000.0,531000.0,1000,-117.51517048050707,49.463754503919624
142,1614000.0,532000.0,1000,-117.51352179378276,49.472687126139995
143,1614000.0,533000.0,1000,-117.5118724692955,49.481619606406845
144,1614000.0,534000.0,1000,-117.51022250667687,49.490551944868045
145,1614000.0,535000.0,1000,-117.50857190555831,49.499484141671694
146,1614000.0,536000.0,1000,-117.50692066557089,49.50841619696577
147,1614000.0,537000.0,1000,-117.50526878634541,49.51734811089833
148,1614000.0,538000.0,1000,-117.50361626751243,49.52627988361768
149,1614000.0,539000.0,1000,-117.50196310870217,49.53521151527192
150,1614000.0,540000.0,1000,-117.5003093095446,49.54414300600918
151,1614000.0,541000.0,1000,-117.49865486966941,49.55307435597802
152,1614000.0,542000.0,1000,-117.49699978870599,49.56200556532656
153,1614000.0,543000.0,1000,-117.49534406628342,49.57093663420331
154,1614000.0,544000.0,1000,-117.49368770203057,49.57986756275671
155,1614000.0,545000.0,1000,-117.49203069557596,49.588798351135296
